Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89%,%,4680660,5258672,89.40%,88.60%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,86.90%,%,56746,65297,93.80%,80.10%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.80%,%,436519,485907,92%,87.70%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,83.60%,%,143883,172195,88.10%,79%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,84.60%,%,141770,167569,89%,80.20%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,87.40%,%,778918,890968,89.20%,85.70%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,88.80%,%,5463091,6153963,89.10%,88.40%
White,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,84.30%,%,2694618.5,3197019,84.90%,83.70%
Mixed,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,76.60%,%,20068.5,26185.5,89.60%,63.70%
Asian or Asian British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,80.50%,%,92220.5,114614.5,86.20%,74.70%
Black or Black British,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,71.90%,%,38075,52958.5,82%,61.80%
Other,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,76.20%,%,22404.5,29417.5,89%,63.40%
Other than White ,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,77.40%,%,172768.5,223176,81.80%,73%
Unreported,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2012,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,83.80%,%,2868346,3421565,84.40%,83.30%
